Sector,Company_Count,Avg_Revenue_USD,Median_Revenue_USD,Avg_Operating_Profit_USD,Avg_Net_Income_USD,Avg_Operating_Margin_Pct,Avg_Net_Margin_Pct,Avg_EPS,Net_Loss_Ratio
Consumer Cyclical,171,24782212243.11,21540125875.26,1984567156.03,817222752.45,8.46,3.71,1.11,26.0%
Energy,150,44914815532.36,42900728983.6,5144703793.24,3272776219.03,13.09,7.43,2.8,37.0%
Financial Services,157,62530808971.64,62844468675.94,17624060423.86,14542884127.38,28.53,23.67,9.17,1.0%
Healthcare,138,31820320036.46,31300000000.0,5005691995.6,3606164561.55,15.92,11.52,4.18,22.0%
Industrials,175,24536746759.4,26010000000.0,2648409243.73,1610586164.55,10.94,6.72,2.68,14.0%
Technology,152,42024362788.83,42864955432.03,9090173036.17,7167849773.06,20.9,16.49,6.62,5.0%
